pair_id	asset_id	study_id	source_accession	citation_raw	pmid	doi	publication_id_normalized	citation_resolution_status	resolution_evidence	parent_id	sequence_sha256	lineage_id	rna_family	probe	platform	condition_id	license_status	proposed_split_role
d1a9b01fa70b35a93e1bd3fd0342b94ce03526a26ae9b2a1c4edb82c231c70f3	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
df695b7b629c40c9d48bea495d589a642f2b9b0a524c199debfb97aef9905109	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
0786ff7428a334a6d7188a119e550915b3f78b42b55271bc292f2db4b314c4c2	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
6b37fc5d75d5f3670fcf93bf96bfaeaf51c7fc9a683b88a1c7f64c8f4cc25dbf	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
3dab1f0f741cd3902608643a4b94f9ae5571a19ba457916df6ecb2a98fb84269	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
cceb078783055af4d62b2a94c4b1d8fee99d56da69591da8ef59f6a37796ee9e	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
bd9d86af7e11c814b8fc64037b018f7915bf3427e69bdb11925acce5cd8b5995	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
0fc49294a75756e62460bd22c72accb7a5390a04be1182fddc6c2d8ad4d66ddd	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
8f085899be0ffd59caabe3a0196ff7686204dfead5796cdb74158ec5195e5954	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
ddd6a5e951bfb5e42306f70b03acd6bdaf0ae24ea1a9c5b3a4747055c9e5f43c	421580813	16SFWJ	16SFWJ_1M7_0001	title=High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states; authors=Tian S, Cordero P, Kladwang W, Das R; journal=RNA (New York, N.Y.); year=2014; pubmed=25183835; doi=10.1261/rna.044321.114	25183835	10.1261/rna.044321.114	pmid_25183835	RESOLVED	pubmed from d0r_accession_registry	16SFWJ_1M7_0001.rdat:1	UNKNOWN_NOT_ASSERTED	UNKNOWN_NOT_ASSERTED	data-rna-structures	1M7	UNKNOWN_NOT_ASSERTED	a5f68a6a5f383bdd07a0da831cbb6f2d458ad8782e74f965257c537afeae481c	VERIFIED_CC0_RMDB	"DEVELOPMENT_CONSUMED"
